DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,15,DOCKER,11,01000000010100000001,9a7e,9a7e
GROUND,15,DOCKER,11,02000000010100000002,dc8c,dc8c
GROUND,15,DOCKER,11,03000000010100000003,e122,e122
GROUND,15,DOCKER,11,04000000010100000004,5168,5168
GROUND,15,DOCKER,11,05000000010100000005,6cc6,6cc6
GROUND,15,DOCKER,11,06000000010100000006,2a34,2a34
GROUND,15,DOCKER,11,07000000010100000007,179a,179a
GROUND,15,DOCKER,11,08000000010100000008,42b1,42b1
GROUND,15,DOCKER,11,09000000010100000009,7f1f,7f1f
GROUND,15,DOCKER,11,0a00000001010000000a,39ed,39ed
