DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,14,DOCKER,11,696b000000df010000,7b24,7b24
GROUND,14,DOCKER,11,ea070609072620480800000100c00b01000100830c010028073100010003000000030000009e3db5ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1270,1270
GROUND,14,DOCKER,11,ea070609072620480800000100c00b01000100830c010028073100010003000000030000009e3db5ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1270,1270
GROUND,14,DOCKER,11,ea070609072621480802000100bf0b02000100910c020028075300020003000000030000009e3db5ff180016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2c54,2c54
GROUND,14,DOCKER,11,ea070609072622480802000100c00b00000000880c020020071e00010003000000030000009e3db5ff180018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6593,6593
GROUND,14,DOCKER,11,ea0706090726234c0801000200b30b04000000800c01002007180001000300000003000000153e39ff170016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,a482,a482
GROUND,14,DOCKER,11,ea0706090726244c0801000200c90b010001007f0c01002907310002000300000003000000153e39ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,f0ed,f0ed
GROUND,14,DOCKER,11,ea0706090726253b0801000000b40b020000007a0c010025073200010003000000030000001e3e85ff170016000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,17f0,17f0
GROUND,14,DOCKER,11,ea0706090726263f0801000000bf0b00000100800c01002b073400040003000000030000000d3e71ff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0a09,0a09
GROUND,14,DOCKER,11,ea070609072627480801000100b60b010001008a0c01002007340001000300000003000000cf3d8aff170019000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,d35f,d35f
GROUND,14,DOCKER,11,ea070609072628480801000100b60b010002008f0c02002307210002000300000003000000253e7bff180017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,2c17,2c17
GROUND,14,DOCKER,11,ea0706090726293f0801000100b30b02000100800c01002a07260001000300000003000000b53eadff170018000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,7717,7717
GROUND,14,DOCKER,11,ea07060907262a3f0801000100c20b02000100820c01002c073d00010003000000030000007d3da6ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8852,8852
GROUND,14,DOCKER,11,ea07060907262b3f0801000100b50b02000100910c030023073c00040003000000030000007d3da6ff170017000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,5fa2,5fa2
