DESTINATION ADDRESS,DESTINATION SSID,SOURCE ADDRESS,SOURCE SSID,INFORMATION FIELD (HEX),RECIEVED CRC-16,CALCULATED CRC-16
GROUND,14,DOCKER,11,01000000010100000001,2cc3,2cc3
GROUND,14,DOCKER,11,02000000010100000002,6a31,6a31
GROUND,14,DOCKER,11,03000000010100000003,579f,579f
GROUND,14,DOCKER,11,04000000010100000004,e7d5,e7d5
GROUND,14,DOCKER,11,05000000010100000005,da7b,da7b
GROUND,14,DOCKER,11,06000000010100000006,9c89,9c89
GROUND,14,DOCKER,11,07000000010100000007,a127,a127
GROUND,14,DOCKER,11,08000000010100000008,f40c,f40c
GROUND,14,DOCKER,11,09000000010100000009,c9a2,c9a2
GROUND,14,DOCKER,11,0a00000001010000000a,8f50,8f50
GROUND,14,DOCKER,11,0b00000001010000000b,b2fe,b2fe
GROUND,14,DOCKER,11,0c00000001010000000c,02b4,02b4
GROUND,14,DOCKER,11,0d00000001010000000d,3f1a,3f1a
GROUND,14,DOCKER,11,0e00000001010000000e,79e8,79e8
GROUND,14,DOCKER,11,0f00000001010000000f,4446,4446
GROUND,14,DOCKER,11,10000000010100000010,d3be,d3be
GROUND,14,DOCKER,11,11000000010100000011,ee10,ee10
GROUND,14,DOCKER,11,12000000010100000012,a8e2,a8e2
GROUND,14,DOCKER,11,13000000010100000013,954c,954c
GROUND,14,DOCKER,11,14000000010100000014,2506,2506
GROUND,14,DOCKER,11,15000000010100000015,18a8,18a8
GROUND,14,DOCKER,11,16000000010100000016,5e5a,5e5a
GROUND,14,DOCKER,11,17000000010100000017,63f4,63f4
GROUND,14,DOCKER,11,18000000010100000018,36df,36df
